2021.2.19 15:16,Start,,,,,,,
2021.2.19 15:16,End,,,,,,,
,,,,,,,,
,,,,,,,,
Time (s),X,Y,Z,|V|,MAx,MAy,MAz,MAv
0.639,-1.161223,7.637737,6.284971,9.959133,-1.26,7.701,6.348,10.06
0.651,-1.017567,7.589851,6.284971,9.906672,-1.189,7.658,6.312,9.996
0.659,-0.885882,7.556331,6.311308,9.885117,-1.083,7.616,6.299,9.944
0.67,-0.797293,7.534783,6.325674,9.870298,-0.965,7.58,6.302,9.905
0.679,-0.735042,7.515629,6.318491,9.846232,-0.859,7.549,6.31,9.877
0.691,-0.718282,7.489292,6.30652,9.81721,-0.784,7.524,6.315,9.855
0.699,-0.691945,7.462955,6.299337,9.790614,-0.736,7.501,6.313,9.831
0.71,-0.636877,7.436617,6.313703,9.77608,-0.696,7.476,6.31,9.808
0.719,-0.550683,7.412675,6.352011,9.777476,-0.649,7.45,6.318,9.79
0.73,-0.459701,7.403098,6.385531,9.787348,-0.585,7.429,6.338,9.783
0.739,-0.392661,7.417463,6.414262,9.814056,-0.51,7.417,6.366,9.789
0.749,-0.359141,7.436617,6.428628,9.836642,-0.441,7.417,6.395,9.804
0.759,-0.378295,7.455772,6.433416,9.854973,-0.397,7.428,6.415,9.823
0.77,-0.435758,7.474926,6.440599,9.876524,-0.391,7.446,6.429,9.846
0.779,-0.505192,7.479714,6.45257,9.891259,-0.42,7.462,6.439,9.865
0.79,-0.545895,7.462955,6.464542,9.888579,-0.466,7.468,6.448,9.878
0.799,-0.5435,7.4438,6.464542,9.873999,-0.508,7.465,6.456,9.883
0.81,-0.502798,7.427041,6.450176,9.849797,-0.524,7.453,6.458,9.876
0.82,-0.442941,7.422252,6.423839,9.826074,-0.509,7.439,6.451,9.86
0.829,-0.390267,7.427041,6.368771,9.791552,-0.47,7.43,6.427,9.835
0.839,-0.36393,7.431829,6.32328,9.76465,-0.425,7.427,6.392,9.808
0.85,-0.361535,7.439012,6.299337,9.75455,-0.39,7.43,6.354,9.784
0.859,-0.339987,7.455772,6.299337,9.766564,-0.364,7.438,6.323,9.769
0.87,-0.306467,7.467743,6.313703,9.783861,-0.343,7.449,6.309,9.767
0.879,-0.275342,7.484503,6.318491,9.798823,-0.321,7.462,6.308,9.776
0.891,-0.277736,7.501263,6.294549,9.796296,-0.3,7.477,6.307,9.786
0.899,-0.287313,7.518023,6.265817,9.791,-0.287,7.493,6.298,9.792
0.91,-0.31365,7.532389,6.253846,9.795195,-0.289,7.509,6.283,9.795
0.919,-0.320833,7.56112,6.246663,9.812964,-0.3,7.528,6.265,9.799
0.93,-0.337593,7.582668,6.237086,9.824056,-0.315,7.549,6.251,9.806
0.939,-0.351958,7.589851,6.217932,9.817963,-0.331,7.567,6.239,9.813
0.95,-0.349564,7.589851,6.20596,9.8103,-0.34,7.581,6.227,9.816
0.96,-0.31365,7.59464,6.1892,9.8022,-0.338,7.589,6.213,9.814
0.971,-0.256187,7.616188,6.172441,9.80668,-0.318,7.598,6.196,9.809
0.979,-0.220273,7.635343,6.146103,9.804161,-0.285,7.609,6.178,9.806
0.989,-0.205908,7.666468,6.119766,9.81166,-0.249,7.628,6.157,9.806
0.999,-0.220273,7.699988,6.083852,9.815885,-0.226,7.654,6.131,9.81
1.011,-0.277736,7.72393,6.047938,9.813959,-0.231,7.681,6.099,9.811
1.019,-0.270553,7.798153,6.059909,9.87962,-0.244,7.722,6.078,9.83
1.029,-0.282524,7.817307,6.019207,9.870206,-0.263,7.76,6.053,9.845
1.039,-0.28013,7.826884,5.988081,9.858788,-0.278,7.792,6.029,9.856
1.051,-0.265765,7.84125,5.971322,9.85964,-0.275,7.821,6.01,9.867
1.06,-0.258582,7.834067,5.961744,9.847937,-0.272,7.83,5.985,9.859
1.07,-0.232245,7.826884,5.990476,9.858999,-0.259,7.832,5.978,9.856
1.079,-0.21309,7.817307,6.045544,9.884549,-0.242,7.83,5.992,9.863
1.09,-0.215485,7.810124,6.105401,9.915664,-0.23,7.822,6.026,9.877
1.099,-0.215485,7.802942,6.134132,9.927734,-0.219,7.814,6.069,9.897
1.109,-0.203513,7.798153,6.126949,9.91928,-0.212,7.807,6.103,9.912
1.12,-0.196331,7.79097,6.071881,9.87955,-0.208,7.801,6.11,9.911
1.131,-0.189148,7.79097,5.997658,9.833967,-0.201,7.796,6.083,9.89
1.139,-0.186753,7.793365,5.918647,9.787839,-0.194,7.793,6.029,9.855
1.15,-0.189148,7.788576,5.868368,9.75374,-0.19,7.791,5.964,9.814
1.159,-0.201119,7.786181,5.837242,9.733369,-0.192,7.79,5.905,9.777
1.171,-0.217879,7.800547,5.839636,9.746659,-0.199,7.792,5.866,9.755
1.179,-0.225062,7.82449,5.870762,9.784638,-0.208,7.8,5.854,9.755
1.19,-0.225062,7.846038,5.928225,9.836403,-0.217,7.814,5.869,9.775
1.199,-0.217879,7.862799,5.997658,9.891561,-0.221,7.833,5.909,9.815
1.21,-0.217879,7.869981,6.050333,9.92928,-0.221,7.851,5.962,9.86
1.219,-0.217879,7.869981,6.062304,9.936579,-0.22,7.862,6.01,9.898
1.229,-0.225062,7.867587,6.028784,9.914424,-0.22,7.868,6.035,9.918
1.239,-0.244216,7.869981,5.980898,9.88774,-0.226,7.869,6.031,9.917
1.251,-0.258582,7.881953,5.901887,9.850093,-0.236,7.872,5.993,9.897
1.259,-0.29689,7.913078,5.851608,9.84613,-0.256,7.883,5.941,9.875
1.27,-0.387873,7.956175,5.832453,9.872622,-0.297,7.905,5.892,9.864
1.279,-0.464489,8.016032,5.839636,9.928438,-0.352,7.942,5.856,9.874
1.29,-0.533923,8.0711,5.87555,9.997491,-0.421,7.989,5.85,9.911
1.299,-0.605752,8.102226,5.916253,10.050625,-0.498,8.036,5.866,9.962
1.309,-0.67758,8.126168,5.947379,10.092821,-0.57,8.079,5.895,10.017
1.319,-0.713494,8.13814,5.954561,10.109164,-0.633,8.109,5.923,10.063
1.331,-0.701523,8.123775,5.952167,10.095352,-0.675,8.123,5.943,10.087
1.339,-0.663214,8.090255,5.956956,10.068634,-0.689,8.12,5.953,10.091
1.349,-0.598569,8.047157,5.97611,10.04136,-0.669,8.1,5.96,10.079
1.359,-0.531529,8.011244,6.016813,10.033175,-0.624,8.068,5.976,10.06
1.371,-0.509981,7.982512,6.050333,10.029312,-0.576,8.033,6,10.043
1.379,-0.505192,7.953781,6.069487,10.01781,-0.536,7.999,6.028,10.03
1.39,-0.498009,7.944204,6.083852,10.018565,-0.511,7.973,6.055,10.025
1.399,-0.462095,7.94181,6.098218,10.023679,-0.494,7.956,6.075,10.022
1.411,-0.399844,7.934627,6.098218,10.01531,-0.466,7.944,6.087,10.019
1.419,-0.337593,7.922655,6.081458,9.993326,-0.424,7.936,6.09,10.013
1.429,-0.277736,7.915473,6.033573,9.956698,-0.369,7.929,6.078,9.997
1.439,-0.215485,7.910684,5.956956,9.905084,-0.308,7.921,6.043,9.968
1.45,-0.174782,7.915473,5.837242,9.836598,-0.251,7.916,5.977,9.923
1.459,-0.143656,7.917867,5.719923,9.768867,-0.203,7.915,5.887,9.867
1.469,-0.110137,7.929838,5.66246,9.744635,-0.161,7.918,5.794,9.814
1.479,-0.071828,7.939415,5.667248,9.754854,-0.125,7.926,5.722,9.776
1.491,-0.047885,7.937021,5.722317,9.784861,-0.093,7.931,5.693,9.763
1.499,-0.057463,7.932232,5.796539,9.824637,-0.072,7.935,5.712,9.777
1.51,-0.093377,7.94181,5.861185,9.870894,-0.068,7.938,5.762,9.809
1.519,-0.117319,8.006455,5.918647,9.957283,-0.079,7.954,5.825,9.859
1.53,-0.193936,8.116591,5.954561,10.06844,-0.116,7.999,5.883,9.93
1.539,-0.356747,8.233912,5.968927,10.176083,-0.19,8.075,5.926,10.018
1.55,-0.598569,8.358414,5.985687,10.298049,-0.317,8.179,5.957,10.125
1.559,-0.842785,8.480521,6.021601,10.434999,-0.498,8.297,5.983,10.244
1.571,-1.036721,8.581081,6.057515,10.554773,-0.709,8.413,6.008,10.366
1.579,-1.168406,8.660092,6.067092,10.638232,-0.912,8.52,6.033,10.482
1.589,-1.225869,8.710372,6.007236,10.651771,-1.068,8.608,6.038,10.57
1.599,-1.23784,8.734315,5.89231,10.608479,-1.167,8.671,6.006,10.613
1.611,-1.223474,8.741497,5.772596,10.546731,-1.214,8.712,5.935,10.611
1.619,-1.209109,8.746285,5.669643,10.49306,-1.224,8.733,5.835,10.575
1.629,-1.15404,8.76544,5.631334,10.482208,-1.206,8.747,5.741,10.533
1.639,-1.108549,8.813326,5.657671,10.531517,-1.174,8.767,5.683,10.513
1.65,-1.161223,8.846846,5.748654,10.614242,-1.158,8.793,5.677,10.53
1.659,-1.278543,8.858817,5.830059,10.681896,-1.176,8.821,5.717,10.577
1.669,-1.424594,8.851634,5.856396,10.708794,-1.243,8.843,5.773,10.634
1.679,-1.55149,8.825297,5.827665,10.688998,-1.354,8.846,5.816,10.673
1.69,-1.613741,8.767835,5.743865,10.605238,-1.467,8.826,5.814,10.671
1.699,-1.587404,8.696006,5.648094,10.490059,-1.544,8.785,5.769,10.623
1.709,-1.486845,8.607418,5.585843,10.368221,-1.56,8.724,5.701,10.538
1.719,-1.309668,8.502069,5.59542,10.262025,-1.499,8.643,5.643,10.431
1.73,-1.079818,8.413482,5.691191,10.21481,-1.366,8.555,5.63,10.334
1.739,-0.912219,8.327288,5.784568,10.18023,-1.197,8.463,5.664,10.256
1.749,-0.85715,8.253065,5.830059,10.140876,-1.04,8.374,5.725,10.199
1.759,-0.914613,8.174054,5.76302,10.043111,-0.941,8.292,5.767,10.145
1.77,-1.063058,8.097438,5.664854,9.939273,-0.937,8.213,5.761,10.076
1.779,-1.197137,8.018426,5.588237,9.846659,-1.008,8.136,5.712,9.992
1.79,-1.242629,7.937021,5.576266,9.779324,-1.104,8.057,5.648,9.902
1.799,-1.216292,7.884347,5.655277,9.778776,-1.18,7.984,5.621,9.836
1.811,-1.113338,7.846038,5.810905,9.826823,-1.192,7.921,5.658,9.808
1.819,-1.003201,7.802942,5.947379,9.862232,-1.144,7.868,5.747,9.812
1.829,-0.952921,7.743085,6.088641,9.89621,-1.071,7.819,5.876,9.841
1.839,-0.938556,7.671257,6.196383,9.905767,-1.002,7.766,6.011,9.873
1.85,-0.926584,7.585063,6.234692,9.862206,-0.955,7.701,6.117,9.882
1.859,-0.905036,7.491686,6.227509,9.783983,-0.931,7.623,6.187,9.862
1.87,-0.84039,7.393521,6.150892,9.654215,-0.903,7.535,6.202,9.802
1.879,-0.7111,7.314509,6.052727,9.520673,-0.846,7.446,6.166,9.705
1.89,-0.533923,7.23071,5.971322,9.392812,-0.748,7.358,6.101,9.588
1.899,-0.306467,7.173247,5.928225,9.310921,-0.598,7.278,6.026,9.47
1.91,-0.057463,7.151699,5.911465,9.278767,-0.402,7.218,5.966,9.376
1.919,0.174782,7.132545,5.877944,9.244132,-0.181,7.172,5.922,9.307
1.931,0.356747,7.144516,5.837242,9.23281,0.042,7.151,5.889,9.267
1.939,0.469278,7.158882,5.796539,9.223323,0.236,7.147,5.856,9.245
1.949,0.541106,7.161276,5.765414,9.209596,0.385,7.149,5.819,9.227
1.959,0.615329,7.134939,5.777385,9.201313,0.496,7.15,5.794,9.217
1.971,0.754197,7.089447,5.842031,9.217288,0.595,7.136,5.795,9.213
1.979,0.893064,7.039168,5.916253,9.238479,0.701,7.106,5.825,9.217
1.989,1.003201,6.998465,5.956956,9.245012,0.816,7.066,5.873,9.226
1.999,1.142069,6.964945,5.92583,9.215761,0.948,7.023,5.91,9.229
2.01,1.336005,6.921848,5.837242,9.152611,1.094,6.981,5.909,9.213
2.019,1.561067,6.871569,5.753442,9.097114,1.261,6.939,5.868,9.178
2.03,1.802889,6.814106,5.717528,9.075934,1.461,6.893,5.809,9.135
2.039,2.068653,6.773404,5.765414,9.132268,1.692,6.845,5.768,9.114
2.05,2.353572,6.715941,5.786962,9.172355,1.947,6.794,5.756,9.119
2.059,2.581028,6.658478,5.786962,9.191625,2.202,6.74,5.764,9.143
2.07,2.758204,6.632141,5.794145,9.228494,2.44,6.695,5.783,9.181
2.078,2.892284,6.622564,5.777385,9.252127,2.646,6.657,5.786,9.211
2.089,2.988055,6.574678,5.765414,9.240934,2.805,6.622,5.781,9.228
2.098,3.098191,6.507639,5.813299,9.25973,2.934,6.584,5.788,9.245
2.109,3.265791,6.402291,5.913859,9.30744,3.061,6.527,5.817,9.265
2.118,3.505218,6.213143,5.988081,9.313798,3.214,6.424,5.87,9.28
2.129,3.869148,5.944984,5.990476,9.284339,3.435,6.267,5.926,9.291
2.138,4.383917,5.621757,5.954561,9.288686,3.756,6.046,5.962,9.299
2.149,5.118959,5.26501,5.92583,9.436077,4.219,5.761,5.965,9.331
2.158,5.930619,4.860378,5.928225,9.692232,4.826,5.423,5.95,9.425
2.169,6.756643,4.436591,5.995264,10.063735,5.548,5.046,5.951,9.62
2.18,7.498868,4.017593,6.170046,10.509213,6.326,4.645,6.005,9.925
2.189,8.075889,3.615355,6.435811,10.941226,7.066,4.232,6.132,10.302
2.198,8.425453,3.234665,6.806923,11.304226,7.689,3.826,6.352,10.705
2.21,8.432636,2.887496,7.278595,11.507603,8.108,3.439,6.673,11.066
2.218,8.28898,2.604971,7.762239,11.650983,8.306,3.086,7.071,11.351
2.229,8.10462,2.363149,8.214757,11.779286,8.313,2.773,7.516,11.561
