2021.2.19 15:16,Start,,,,,,,
2021.2.19 15:16,End,,,,,,,
,,,,,,,,
,,,,,,,,
Time (s),X,Y,Z,|V|,MAx,MAy,MAz,MAv
3.269,-5.657671,9.703996,6.598621,13.027608,-1.167,4.45,5.586,8.29
3.278,-9.210775,13.446247,7.412675,17.904963,-4.198,7.945,6.21,11.331
3.29,-12.634588,17.061602,8.123775,22.731624,-7.467,11.559,6.962,15.574
3.298,-15.431101,20.20768,8.710372,26.87638,-10.734,15.105,7.711,20.135
3.308,-17.471024,22.824621,9.064724,30.139163,-13.687,18.385,8.328,24.413
3.318,-18.840548,24.529345,9.047964,32.226086,-16.094,21.156,8.737,27.993
3.33,-19.419964,25.15904,8.636149,32.934715,-17.791,23.18,8.865,30.544
3.338,-19.312222,24.905247,7.884347,32.486861,-18.761,24.355,8.658,31.947
3.349,-18.311413,23.806274,6.91706,30.820321,-18.971,24.6,8.121,32.117
3.358,-16.544439,22.094368,6.012024,28.249318,-18.397,23.991,7.362,31.123
3.37,-14.31058,19.822201,5.458947,25.050199,-17.12,22.657,6.568,29.152
3.378,-11.746312,17.269905,5.389513,21.570172,-15.228,20.748,5.944,26.423
3.389,-8.913885,14.47818,5.583449,17.895528,-12.879,18.416,5.611,23.191
3.398,-6.203566,11.573924,5.676826,14.306163,-10.294,15.786,5.527,19.706
3.409,-3.739857,8.607418,4.956149,10.613086,-7.651,12.982,5.401,16.096
3.418,-1.37192,5.564295,3.823657,6.889404,-5.057,10.056,5.01,12.426
3.428,1.278543,2.284138,2.923409,3.924064,-2.509,7.007,4.345,8.933
3.438,4.268992,-1.039115,2.729473,5.172434,0.109,3.854,3.608,6.65
3.45,7.771816,-4.410254,3.718309,9.678703,2.987,0.6,3.299,6.416
3.458,11.411114,-7.419858,5.643306,14.734813,6.183,-2.646,3.754,8.378
3.469,14.621837,-10.039194,7.982512,19.450039,9.518,-5.727,5.018,12.259
3.478,16.908369,-12.047991,9.90272,23.002411,12.678,-8.479,6.812,16.716
3.49,18.115084,-13.455825,10.628186,24.943413,15.264,-10.741,8.539,20.533
3.498,18.347328,-14.186078,10.235525,25.350252,16.998,-12.432,9.687,23.187
3.509,17.449474,-14.368043,8.978531,24.321571,17.705,-13.514,9.936,24.404
3.518,15.31857,-14.061576,7.57788,22.131669,17.308,-14.018,9.355,24.187
3.53,12.361641,-13.058374,6.414262,19.091204,15.869,-13.919,8.302,22.724
3.539,9.620196,-11.602655,5.540352,16.058185,13.687,-13.273,7.128,20.401
3.549,7.187613,-9.641745,5.183605,13.095602,11.122,-12.091,6.179,17.594
3.558,4.709538,-6.845232,5.360781,9.88812,8.47,-10.287,5.625,14.533
3.569,0.804476,-3.095797,5.765414,6.593265,5.58,-7.796,5.463,11.409
3.579,-4.034353,1.051087,6.043149,7.341692,2.167,-4.633,5.588,9.23
3.589,-8.980925,5.482889,6.182017,12.203951,-1.875,-0.852,5.838,9.007
3.598,-13.087106,9.996098,6.273,17.622282,-6.324,3.359,6.066,10.94
3.609,-16.44388,14.071153,6.395108,22.567586,-10.637,7.65,6.223,14.934
3.618,-19.288279,17.471024,6.555524,26.83746,-14.45,11.755,6.351,19.808
3.629,-21.553263,20.028109,6.301731,30.089533,-17.593,15.392,6.381,24.279
3.638,-22.755188,21.629879,5.446975,31.864084,-20.01,18.3,6.175,27.84
3.649,-22.750399,22.022539,4.295329,31.953446,-21.587,20.288,5.65,30.186
3.658,-21.869307,21.450308,3.486064,30.830746,-22.232,21.283,4.883,31.184
3.668,-19.992195,19.944309,3.306494,28.432311,-21.842,21.262,4.134,30.77
3.678,-17.432714,17.777491,3.620143,25.160369,-20.511,20.299,3.677,29.094
3.69,-13.96341,15.059989,3.933794,20.910639,-18.314,18.558,3.587,26.334
3.698,-10.223554,12.253899,3.893091,16.426662,-15.403,16.259,3.688,22.732
3.709,-6.450176,9.486116,3.706337,12.055212,-12.017,13.644,3.788,18.638
3.717,-2.947352,6.979311,3.806897,8.478805,-8.396,10.945,3.835,14.468
3.728,0.131685,4.795732,4.539545,6.604836,-4.872,8.379,3.986,10.891
3.737,2.406246,3.059883,5.523592,6.757439,-1.715,6.08,4.394,8.474
3.747,4.039142,1.91542,6.524399,7.908937,0.907,4.188,5.099,7.438
3.757,5.214731,1.314457,7.223527,9.005585,2.948,2.771,5.953,7.569
3.77,5.770202,1.309668,7.568303,9.606751,4.358,1.9,6.71,8.32
3.778,5.782174,1.68557,7.652102,9.738036,5.202,1.556,7.242,9.065
3.788,5.276982,2.391881,7.506052,9.482006,5.511,1.675,7.487,9.458
3.797,4.415043,3.308888,7.161276,9.0402,5.311,2.174,7.472,9.467
3.809,3.342408,4.316877,6.720729,8.658829,4.704,2.926,7.26,9.23
3.817,2.264984,5.28177,6.311308,8.535799,3.825,3.825,6.925,8.929
3.831,1.376708,6.136526,6.002447,8.693771,2.85,4.761,6.549,8.732
3.838,0.806871,6.79974,5.808511,8.979215,1.948,5.634,6.211,8.717
3.851,0.545895,7.254653,5.736682,9.264853,1.249,6.368,5.965,8.868
3.857,0.445335,7.575486,5.703163,9.492754,0.794,6.942,5.813,9.108
3.867,0.378295,7.762239,5.631334,9.59726,0.544,7.348,5.72,9.334
3.878,0.284919,7.903501,5.557112,9.665816,0.414,7.624,5.657,9.505
3.889,0.150839,7.994483,5.511621,9.711461,0.315,7.809,5.601,9.617
3.897,0.088588,8.073495,5.542746,9.793427,0.226,7.933,5.561,9.692
3.908,0.138868,8.12138,5.643306,9.890551,0.166,8.023,5.564,9.765
3.917,0.249005,8.157294,5.774991,9.997699,0.157,8.087,5.618,9.848
3.929,0.34717,8.169266,5.85879,10.058969,0.206,8.13,5.705,9.935
3.937,0.440547,8.166871,5.877944,10.071847,0.294,8.154,5.789,10.005
3.947,0.572232,8.142929,5.844425,10.039524,0.402,8.159,5.839,10.042
3.957,0.715888,8.099832,5.832453,10.006861,0.519,8.145,5.853,10.044
3.968,0.87391,8.006455,5.899493,9.98354,0.651,8.104,5.864,10.025
3.977,1.034327,7.903501,6.028784,9.994068,0.799,8.038,5.901,10.006
3.988,1.20432,7.80773,6.217932,10.053542,0.957,7.954,5.995,10.01
3.997,1.3384,7.745479,6.3568,10.109038,1.113,7.866,6.126,10.035
4.008,1.357554,7.709565,6.419051,10.123466,1.234,7.792,6.256,10.07
4.017,1.312063,7.709565,6.411868,10.11291,1.303,7.743,6.351,10.1
4.028,1.18756,7.747873,6.261029,10.031965,1.299,7.728,6.362,10.094
4.037,1.02475,7.80773,6.035967,9.921878,1.22,7.744,6.282,10.048
4.049,0.919402,7.872375,5.842031,9.846264,1.111,7.784,6.138,9.978
4.057,0.878699,7.913078,5.707951,9.796409,1.003,7.835,5.962,9.899
4.068,0.871516,7.922655,5.691191,9.793756,0.924,7.879,5.819,9.84
4.077,0.897853,7.913078,5.784568,9.842976,0.892,7.905,5.756,9.82
4.089,0.936161,7.901107,5.906676,9.909224,0.896,7.912,5.773,9.836
4.097,0.912219,7.903501,5.949773,9.93465,0.904,7.91,5.833,9.87
4.107,0.854756,7.922655,5.913859,9.923346,0.9,7.91,5.889,9.903
4.117,0.778139,7.92505,5.906676,9.914673,0.87,7.913,5.919,9.92
4.129,0.718282,7.927444,5.973716,9.952164,0.816,7.92,5.936,9.931
4.137,0.682368,7.920261,6.043149,9.985781,0.758,7.924,5.959,9.944
4.148,0.672791,7.920261,6.069487,10.001092,0.713,7.923,5.998,9.963
4.157,0.696734,7.913078,5.99287,9.950715,0.693,7.92,6.02,9.972
4.168,0.754197,7.901107,5.911465,9.896551,0.702,7.914,6.004,9.959
4.177,0.842785,7.865193,5.851608,9.839353,0.742,7.9,5.956,9.922
4.187,0.933767,7.788576,5.801328,9.756497,0.807,7.867,5.889,9.861
4.198,0.969681,7.680834,5.777385,9.6599,0.875,7.809,5.835,9.788
4.209,0.897853,7.54436,5.842031,9.583988,0.911,7.72,5.818,9.71
4.217,0.895459,7.455772,5.980898,9.60008,0.924,7.617,5.85,9.65
4.227,0.993624,7.415069,6.110189,9.659449,0.939,7.524,5.928,9.626
4.237,1.031932,7.431829,6.107795,9.674819,0.955,7.462,6.01,9.63
4.248,0.92419,7.496474,6.016813,9.656775,0.961,7.45,6.054,9.648
4.257,0.742225,7.580274,5.904282,9.637012,0.923,7.481,6.035,9.657
4.267,0.581809,7.644919,5.806117,9.617395,0.82,7.538,5.959,9.647
4.277,0.505192,7.664073,5.751048,9.595196,0.688,7.596,5.87,9.627
4.288,0.5435,7.62816,5.751048,9.568634,0.593,7.629,5.803,9.605
4.299,0.639271,7.534783,5.784568,9.520654,0.567,7.618,5.773,9.575
4.307,0.785322,7.405492,5.842031,9.46506,0.618,7.558,5.782,9.537
4.317,0.993624,7.266624,5.897099,9.410999,0.74,7.459,5.819,9.491
4.328,1.245023,7.110996,5.832453,9.280833,0.916,7.329,5.839,9.419
4.337,1.460508,6.979311,5.717528,9.139693,1.121,7.191,5.822,9.324
4.347,1.632895,6.929031,5.614574,9.066491,1.333,7.071,5.765,9.225
4.357,1.702329,6.948185,5.559506,9.059984,1.51,6.992,5.681,9.137
4.37,1.599376,7.041562,5.593026,9.133649,1.599,6.975,5.621,9.1
4.377,1.379102,7.201979,5.719923,9.299889,1.578,7.03,5.622,9.14
4.388,1.005595,7.410281,5.861185,9.501419,1.422,7.151,5.683,9.249
4.397,0.553077,7.647314,5.97611,9.721172,1.134,7.325,5.788,9.414
4.408,0.153234,7.898713,6.004841,9.923269,0.773,7.54,5.891,9.611
4.417,-0.165205,8.128563,5.966533,10.084658,0.387,7.771,5.952,9.808
4.427,-0.38069,8.315316,5.918647,10.213706,0.04,7.997,5.967,9.986
4.437,-0.488432,8.439818,5.889916,10.303408,-0.22,8.196,5.945,10.131
4.448,-0.512375,8.506859,5.897099,10.363636,-0.387,8.348,5.918,10.241
4.457,-0.500403,8.530801,5.952167,10.414089,-0.47,8.448,5.914,10.324
4.467,-0.466884,8.526012,6.067092,10.474754,-0.492,8.501,5.952,10.389
4.477,-0.442941,8.487704,6.244269,10.546479,-0.481,8.513,6.04,10.45
4.489,-0.392661,8.432636,6.414262,10.602184,-0.451,8.494,6.169,10.509
4.499,-0.332804,8.363202,6.51961,10.609393,-0.409,8.452,6.311,10.558
4.507,-0.33041,8.274613,6.526793,10.54407,-0.375,8.39,6.426,10.576
4.517,-0.33041,8.200391,6.507639,10.474013,-0.347,8.318,6.492,10.557
4.529,-0.282524,8.111803,6.445388,10.364564,-0.319,8.238,6.5,10.498
4.537,-0.205908,8.03758,6.378348,10.262963,-0.287,8.156,6.465,10.411
4.548,-0.138868,7.960964,6.316097,10.163135,-0.239,8.078,6.412,10.316
4.557,-0.117319,7.89153,6.292154,10.093622,-0.186,8,6.358,10.221
4.568,-0.122108,7.822096,6.299337,10.04399,-0.146,7.928,6.321,10.141
4.577,-0.105348,7.762239,6.335251,10.019923,-0.121,7.859,6.311,10.08
4.587,-0.071828,7.709565,6.337646,9.980396,-0.104,7.796,6.316,10.034
4.597,-0.038308,7.661679,6.273,9.902188,-0.084,7.739,6.311,9.987
4.609,-0.028731,7.630554,6.203566,9.834145,-0.061,7.691,6.287,9.934
4.617,-0.047885,7.609005,6.165257,9.793347,-0.047,7.653,6.245,9.878
4.627,-0.06704,7.59464,6.186806,9.795898,-0.045,7.624,6.207,9.831
4.637,-0.069434,7.573091,6.244269,9.815673,-0.053,7.602,6.2,9.81
4.648,-0.06704,7.549149,6.32328,9.847741,-0.063,7.581,6.23,9.813
4.657,-0.055068,7.534783,6.385531,9.876791,-0.065,7.563,6.285,9.834
4.667,-0.028731,7.525206,6.368771,9.858539,-0.055,7.546,6.33,9.85
4.677,-0.002394,7.539571,6.284971,9.8156,-0.038,7.537,6.341,9.85
4.688,0.021548,7.570697,6.138921,9.74691,-0.016,7.543,6.295,9.824
4.699,0.057463,7.599428,6.033573,9.703536,0.012,7.559,6.207,9.781
4.707,0.086194,7.609005,6.00963,9.696394,0.041,7.58,6.117,9.741
4.717,0.124502,7.620977,6.069487,9.74338,0.072,7.6,6.063,9.723
4.729,0.169994,7.62816,6.138921,9.793062,0.11,7.614,6.063,9.734
4.737,0.227456,7.62816,6.22272,9.846969,0.152,7.622,6.11,9.77
4.748,0.284919,7.620977,6.244269,9.856539,0.202,7.625,6.169,9.81
4.758,0.332804,7.620977,6.208354,9.83533,0.254,7.625,6.204,9.833
4.768,0.33041,7.652102,6.141315,9.817311,0.294,7.631,6.204,9.839
4.777,0.284919,7.661679,6.064698,9.775637,0.308,7.639,6.165,9.821
4.787,0.21309,7.664073,6.050333,9.766778,0.29,7.65,6.116,9.799
4.797,0.136474,7.654497,6.074275,9.772756,0.241,7.658,6.083,9.783
4.809,0.076617,7.630554,6.1892,9.825346,0.178,7.653,6.095,9.785
4.817,0.026337,7.604217,6.311308,9.882177,0.113,7.638,6.156,9.812
4.828,0.002394,7.56112,6.428628,9.924606,0.06,7.613,6.251,9.851
4.837,0.01676,7.537177,6.526793,9.970374,0.031,7.583,6.364,9.901
4.849,0.040703,7.508446,6.579467,9.983376,0.022,7.553,6.462,9.94
4.858,0.069434,7.489292,6.62017,9.996047,0.032,7.524,6.539,9.969
4.867,0.107742,7.474926,6.656084,10.009475,0.059,7.502,6.596,9.99
4.877,0.131685,7.462955,6.663267,10.005606,0.087,7.484,6.63,9.999
4.888,0.124502,7.448589,6.629747,9.972488,0.108,7.469,6.642,9.996
4.897,0.107742,7.434223,6.577073,9.926589,0.118,7.455,6.632,9.979
4.908,0.102954,7.415069,6.517216,9.872586,0.117,7.44,6.597,9.944
4.917,0.141262,7.383944,6.428628,9.791314,0.119,7.42,6.538,9.891
4.929,0.227456,7.352818,6.426234,9.767915,0.145,7.397,6.487,9.84
4.937,0.306467,7.319298,6.459754,9.767009,0.195,7.368,6.458,9.8
4.947,0.36393,7.271412,6.493273,9.755434,0.26,7.332,6.452,9.77
4.957,0.383084,7.216344,6.510033,9.726403,0.32,7.29,6.472,9.754
4.969,0.342381,7.161276,6.510033,9.684092,0.349,7.242,6.493,9.733
4.977,0.294496,7.122968,6.498062,9.64615,0.346,7.193,6.503,9.703
4.987,0.284919,7.084659,6.421445,9.566009,0.326,7.146,6.485,9.656
4.997,0.301679,7.051139,6.380743,9.514381,0.306,7.105,6.453,9.603
5.008,0.320833,7.039168,6.380743,9.50614,0.3,7.074,6.42,9.558
5.018,0.38069,7.048745,6.378348,9.513835,0.322,7.056,6.39,9.525
5.027,0.454912,7.067899,6.385531,9.536097,0.365,7.052,6.381,9.518
5.037,0.495615,7.115785,6.359194,9.556117,0.413,7.068,6.376,9.528
5.049,0.490826,7.187613,6.354405,9.606308,0.456,7.105,6.369,9.553
5.057,0.447729,7.26423,6.30652,9.630249,0.472,7.159,6.351,9.582
5.067,0.387873,7.316904,6.277789,9.648738,0.456,7.221,6.324,9.61
5.078,0.332804,7.34803,6.304126,9.68743,0.415,7.279,6.311,9.643
5.089,0.304073,7.340847,6.390319,9.737385,0.368,7.318,6.32,9.676
5.097,0.284919,7.326481,6.486091,9.789171,0.327,7.333,6.365,9.716
5.108,0.294496,7.302538,6.545948,9.811383,0.304,7.329,6.432,9.756
5.117,0.339987,7.288173,6.610593,9.845455,0.306,7.315,6.508,9.796
5.129,0.39745,7.292961,6.65369,9.880123,0.329,7.303,6.574,9.832
5.137,0.407027,7.295355,6.668056,9.891959,0.36,7.295,6.62,9.857
5.147,0.335198,7.307327,6.646507,9.883594,0.37,7.296,6.645,9.875
5.157,0.205908,7.312115,6.591439,9.846649,0.336,7.302,6.64,9.876
5.169,0.028731,7.314509,6.526793,9.803158,0.244,7.307,6.608,9.856
5.177,-0.110137,7.326481,6.447782,9.760295,0.115,7.315,6.553,9.823
5.187,-0.160416,7.345635,6.404685,9.747003,-0.009,7.325,6.493,9.789
5.197,-0.155628,7.369578,6.387925,9.753999,-0.099,7.339,6.442,9.766
5.209,-0.098165,7.415069,6.359194,9.768942,-0.131,7.364,6.4,9.758
5.217,-0.05028,7.462955,6.325674,9.78327,-0.116,7.398,6.369,9.763
5.227,-0.023943,7.515629,6.280183,9.794179,-0.082,7.441,6.338,9.775
5.237,-0.01676,7.553937,6.215538,9.78239,-0.047,7.487,6.295,9.782
5.249,-0.014366,7.570697,6.148498,9.752932,-0.026,7.526,6.242,9.778
5.257,-0.021548,7.558725,6.114978,9.722539,-0.019,7.55,6.19,9.763
5.268,-0.047885,7.525206,6.100612,9.687543,-0.025,7.552,6.145,9.736
5.278,-0.076617,7.49408,6.067092,9.642443,-0.04,7.537,6.108,9.701
5.289,-0.090982,7.513234,6.071881,9.660471,-0.059,7.523,6.089,9.678
5.297,-0.129291,7.556331,6.119766,9.724525,-0.086,7.522,6.09,9.679
5.307,-0.186753,7.609005,6.203566,9.819169,-0.121,7.543,6.116,9.712
5.317,-0.244216,7.676045,6.28976,9.926852,-0.163,7.589,6.171,9.783
5.329,-0.284919,7.731113,6.320886,9.99024,-0.211,7.643,6.233,9.865
5.337,-0.299284,7.79097,6.282577,10.01297,-0.254,7.702,6.274,9.937
5.347,-0.301679,7.843644,6.165257,9.98119,-0.283,7.76,6.265,9.978
5.357,-0.337593,7.877164,5.997658,9.90634,-0.306,7.811,6.192,9.973
5.369,-0.41421,7.901107,5.827665,9.826532,-0.338,7.853,6.068,9.932
5.378,-0.481249,7.920261,5.69598,9.767616,-0.384,7.886,5.922,9.87
5.388,-0.509981,7.92505,5.676826,9.761806,-0.436,7.906,5.8,9.816
5.397,-0.493221,7.917867,5.777385,9.813973,-0.475,7.916,5.744,9.792
5.408,-0.464489,7.884347,5.937801,9.881101,-0.487,7.912,5.772,9.806
5.417,-0.442941,7.846038,6.083852,9.938298,-0.478,7.893,5.869,9.849
5.428,-0.430969,7.80773,6.20596,9.983002,-0.458,7.864,6.001,9.904
5.437,-0.416604,7.759845,6.280183,9.991469,-0.439,7.824,6.127,9.948
5.448,-0.416604,7.726325,6.273,9.960933,-0.427,7.785,6.211,9.968
5.457,-0.440547,7.709565,6.213143,9.911338,-0.426,7.751,6.243,9.962
5.468,-0.447729,7.731113,6.155681,9.892572,-0.43,7.732,6.231,9.939
5.477,-0.462095,7.764633,6.136526,9.907573,-0.442,7.733,6.195,9.918
5.488,-0.502798,7.802942,6.172441,9.961814,-0.463,7.752,6.169,9.918
5.498,-0.569837,7.831673,6.23948,10.029503,-0.496,7.783,6.176,9.948
5.508,-0.634483,7.831673,6.366377,10.112785,-0.542,7.808,6.229,10.003
5.517,-0.64406,7.814913,6.526793,10.202289,-0.588,7.82,6.326,10.077
5.528,-0.608146,7.771816,6.65369,10.249027,-0.614,7.813,6.447,10.148
5.537,-0.56026,7.733508,6.691998,10.242259,-0.612,7.788,6.56,10.202
5.547,-0.538712,7.702382,6.60341,10.159819,-0.588,7.756,6.619,10.213
5.557,-0.524346,7.690411,6.450176,10.050976,-0.558,7.725,6.6,10.176
5.569,-0.548289,7.716748,6.277789,9.962903,-0.543,7.711,6.506,10.104
5.577,-0.569837,7.74069,6.146103,9.900383,-0.545,7.713,6.369,10.019
5.588,-0.574626,7.762239,6.110189,9.8953,-0.554,7.728,6.246,9.952
5.598,-0.565049,7.771816,6.153286,9.928915,-0.564,7.748,6.172,9.922
5.609,-0.555472,7.795759,6.20596,9.979797,-0.566,7.768,6.154,9.926
5.617,-0.57702,7.812519,6.234692,10.011982,-0.568,7.786,6.176,9.954
5.628,-0.622511,7.831673,6.193989,10.004405,-0.58,7.803,6.197,9.981
5.637,-0.684763,7.862799,6.062304,9.952087,-0.61,7.826,6.174,9.987
5.649,-0.758985,7.884347,5.961744,9.913697,-0.661,7.848,6.113,9.971
5.657,-0.809265,7.901107,5.933013,9.91378,-0.719,7.87,6.038,9.946
5.667,-0.87391,7.898713,6.021601,9.97061,-0.782,7.887,5.995,9.938
5.677,-0.938556,7.889135,6.131738,10.035813,-0.845,7.893,6.012,9.958
5.688,-0.964893,7.898713,6.217932,10.098681,-0.897,7.897,6.076,10.005
5.697,-0.986441,7.927444,6.263423,10.151251,-0.941,7.904,6.159,10.064
5.707,-1.031932,7.956175,6.28976,10.194444,-0.98,7.918,6.226,10.12
5.717,-1.094184,7.968146,6.301731,10.217652,-1.019,7.938,6.268,10.166
5.729,-1.130098,7.982512,6.277789,10.218035,-1.061,7.959,6.283,10.195
5.737,-1.130098,7.984907,6.225114,10.187635,-1.097,7.973,6.274,10.204
5.748,-1.106155,7.968146,6.150892,10.126618,-1.115,7.976,6.239,10.187
5.757,-1.079818,7.956175,6.086246,10.075174,-1.112,7.973,6.185,10.152
5.768,-1.055875,7.922655,6.047938,10.023018,-1.093,7.958,6.128,10.103
5.777,-1.015172,7.886741,6.019207,9.973069,-1.064,7.933,6.076,10.049
5.787,-0.964893,7.84125,6.000052,9.920527,-1.029,7.902,6.038,9.998
5.798,-0.92419,7.795759,6.00963,9.886538,-0.99,7.862,6.019,9.951
5.809,-0.895459,7.745479,6.045544,9.86625,-0.95,7.817,6.019,9.912
5.817,-0.871516,7.711959,6.069487,9.852539,-0.914,7.774,6.031,9.881
5.828,-0.806871,7.692805,6.067092,9.830559,-0.875,7.737,6.048,9.859
5.837,-0.732648,7.690411,6.050333,9.812528,-0.827,7.71,6.058,9.84
5.849,-0.675186,7.709565,6.014418,9.801351,-0.772,7.701,6.05,9.824
5.857,-0.646454,7.72393,5.973716,9.785821,-0.715,7.704,6.026,9.808
5.867,-0.639271,7.728719,5.95935,9.780369,-0.673,7.713,5.999,9.795
5.877,-0.646454,7.731113,5.961744,9.784192,-0.652,7.723,5.977,9.788
5.889,-0.663214,7.72393,5.966533,9.78256,-0.649,7.727,5.965,9.783
5.897,-0.701523,7.714354,5.973716,9.782058,-0.663,7.725,5.965,9.782
5.907,-0.720677,7.70717,6.000052,9.7939,-0.683,7.719,5.976,9.786
5.917,-0.718282,7.695199,6.067092,9.82556,-0.701,7.71,6.002,9.796
5.929,-0.7111,7.666468,6.179623,9.872595,-0.713,7.696,6.055,9.819
5.938,-0.701523,7.637737,6.296943,9.923641,-0.713,7.677,6.136,9.854
5.947,-0.679974,7.616188,6.373559,9.954443,-0.703,7.654,6.229,9.894
5.957,-0.64406,7.604217,6.361588,9.935226,-0.684,7.631,6.303,9.921
5.968,-0.588992,7.597034,6.294549,9.88348,-0.654,7.614,6.332,9.924
5.977,-0.531529,7.604217,6.225114,9.841681,-0.611,7.605,6.314,9.904
5.988,-0.483644,7.616188,6.155681,9.804725,-0.562,7.605,6.259,9.866
5.997,-0.469278,7.632948,6.064698,9.76026,-0.518,7.613,6.185,9.823
6.008,-0.498009,7.649708,6.002447,9.736293,-0.496,7.626,6.112,9.786
6.017,-0.531529,7.661679,5.997658,9.744524,-0.496,7.64,6.055,9.761
6.028,-0.550683,7.659285,6.071881,9.789568,-0.512,7.651,6.034,9.758
6.037,-0.557866,7.654497,6.186806,9.857946,-0.535,7.656,6.065,9.782
6.048,-0.567443,7.637737,6.304126,9.919628,-0.552,7.653,6.14,9.828
6.057,-0.569837,7.625765,6.387925,9.964065,-0.561,7.644,6.238,9.883
6.067,-0.56026,7.604217,6.419051,9.967056,-0.564,7.631,6.324,9.927
6.077,-0.538712,7.592246,6.399897,9.9444,-0.559,7.615,6.378,9.949
6.088,-0.519558,7.582668,6.335251,9.894554,-0.547,7.601,6.386,9.943
6.098,-0.524346,7.57788,6.237086,9.828553,-0.536,7.589,6.348,9.909
6.108,-0.548289,7.575486,6.129344,9.759993,-0.533,7.582,6.275,9.857
6.117,-0.579414,7.582668,6.047938,9.716488,-0.543,7.58,6.187,9.8
6.129,-0.61054,7.597034,6.021601,9.713257,-0.566,7.583,6.109,9.755
6.137,-0.634483,7.606611,6.035967,9.731187,-0.593,7.59,6.059,9.73
6.147,-0.608146,7.604217,6.107795,9.772365,-0.608,7.598,6.053,9.733
6.157,-0.572232,7.592246,6.182017,9.807496,-0.606,7.6,6.087,9.756
6.169,-0.557866,7.585063,6.227509,9.829865,-0.593,7.597,6.138,9.785
6.177,-0.565049,7.59464,6.241874,9.846768,-0.576,7.594,6.19,9.814
6.188,-0.533923,7.625765,6.249057,9.873605,-0.557,7.599,6.225,9.839
6.197,-0.541106,7.632948,6.241874,9.875003,-0.549,7.61,6.24,9.856
6.208,-0.598569,7.654497,6.253846,9.902534,-0.56,7.627,6.247,9.874
6.217,-0.663214,7.678439,6.253846,9.925163,-0.584,7.648,6.25,9.894
6.228,-0.703917,7.695199,6.210749,9.913879,-0.627,7.665,6.24,9.904
6.237,-0.689551,7.685622,6.170046,9.879967,-0.664,7.678,6.222,9.905
6.249,-0.641666,7.647314,6.179623,9.852963,-0.675,7.677,6.204,9.893
6.257,-0.596174,7.6114,6.225114,9.850933,-0.658,7.66,6.196,9.874
6.267,-0.548289,7.585063,6.268211,9.855165,-0.619,7.632,6.211,9.86
6.278,-0.514769,7.568303,6.277789,9.846564,-0.575,7.603,6.238,9.851
6.288,-0.509981,7.563514,6.263423,9.833478,-0.542,7.582,6.259,9.847
6.297,-0.514769,7.570697,6.246663,9.828593,-0.522,7.572,6.264,9.841
6.307,-0.476461,7.585063,6.244269,9.836213,-0.504,7.572,6.258,9.836
6.317,-0.483644,7.568303,6.277789,9.844986,-0.496,7.572,6.258,9.836
6.328,-0.488432,7.565908,6.328068,9.875525,-0.491,7.572,6.274,9.846
6.337,-0.498009,7.558725,6.361588,9.892024,-0.487,7.57,6.303,9.862
6.347,-0.531529,7.539571,6.409474,9.910046,-0.5,7.558,6.344,9.881
6.357,-0.562655,7.522811,6.447782,9.923869,-0.52,7.547,6.387,9.9
6.369,-0.567443,7.522811,6.447782,9.924141,-0.54,7.536,6.417,9.913
6.378,-0.553077,7.537177,6.409474,9.909404,-0.554,7.531,6.429,9.917
6.387,-0.541106,7.558725,6.349617,9.886595,-0.556,7.535,6.414,9.911
6.397,-0.52674,7.59464,6.287365,9.873549,-0.547,7.553,6.374,9.898
6.409,-0.531529,7.625765,6.232297,9.862877,-0.538,7.579,6.32,9.883
6.417,-0.533923,7.647314,6.203566,9.861577,-0.533,7.607,6.268,9.871
6.427,-0.514769,7.661679,6.215538,9.879232,-0.527,7.632,6.235,9.869
6.437,-0.471672,7.659285,6.268211,9.908461,-0.513,7.649,6.23,9.878
6.448,-0.457306,7.654497,6.292154,9.919257,-0.494,7.656,6.245,9.892
6.457,-0.500403,7.642525,6.251451,9.886316,-0.486,7.654,6.257,9.898
6.468,-0.600963,7.635343,6.177229,9.839602,-0.508,7.648,6.247,9.888
6.477,-0.730254,7.62816,6.07667,9.77998,-0.572,7.64,6.199,9.856
6.488,-0.833208,7.625765,6.043149,9.765562,-0.666,7.633,6.137,9.818
6.497,-0.864333,7.623371,6.071881,9.784201,-0.757,7.628,6.092,9.792
6.507,-0.811659,7.613794,6.158075,9.826013,-0.81,7.623,6.087,9.789
6.517,-0.718282,7.620977,6.282577,9.902828,-0.807,7.621,6.139,9.82
6.528,-0.668003,7.654497,6.371165,9.981448,-0.766,7.628,6.221,9.874
6.537,-0.699128,7.702382,6.392714,10.034055,-0.724,7.648,6.301,9.936
6.548,-0.792505,7.764633,6.352011,10.063083,-0.719,7.686,6.35,9.995
6.557,-0.90743,7.829278,6.258635,10.06437,-0.767,7.738,6.344,10.036
6.568,-1.043904,7.884347,6.141315,10.048304,-0.861,7.795,6.286,10.052
6.577,-1.15404,7.922655,6.021601,10.017982,-0.974,7.85,6.193,10.048
6.588,-1.20432,7.920261,5.913859,9.957643,-1.077,7.889,6.084,10.022
6.597,-1.163618,7.872375,5.846819,9.874897,-1.141,7.9,5.981,9.975
6.608,-1.043904,7.786181,5.85879,9.799989,-1.141,7.875,5.91,9.913
6.618,-0.89067,7.678439,5.90907,9.729791,-1.076,7.814,5.882,9.841
